instrument_name,panel,cell,description,manufacturer,intern_calib,model,serial,units,last_calib,due_calib,po,cost,recv_date,certified,assigned_to,status,notes
06LI-0077,06LI-0077,INSPECCION,PLUG GAGE,VERMONT GAGE,FALSE,nan,nan,M5 X .80  6H,9/1/2022,9/30/2024,nan,,10/10/2010,TRUE,SUP.INSP. ENTR.,ACTIVO,EXTERNO
06LF-1077,06LF-1077,PLASTICOS,THD. PLUG GAGE,VERMONT GAGE,FALSE,nan,nan,1/4-18 PTF-SAE L2,10/1/2021,10/31/2023,nan,,10/10/2010,TRUE,SUP. PLASTICOS,ACTIVO,EXTERNO
06LF-1078,06LF-1078,PLASTICOS,THD. PLUG GAGE,VERMONT GAGE,FALSE,nan,nan,1/4-18 PTF-SAE L3,10/1/2021,10/31/2023,nan,,10/10/2010,TRUE,SUP. PLASTICOS,ACTIVO,EXTERNO
06QF-0535,06QF-0535,PLASTICOS,THD. RING GAGE,VTG,FALSE,nan,nan,1-1/4-11 1/2 PTF,10/1/2021,10/31/2023,nan,,10/10/2010,TRUE,SUP. PLASTICOS,ACTIVO,EXTERNO
06QF-0536,06QF-0536,PLASTICOS,THD. RING GAGE,VTG,FALSE,nan,nan,1-1/4 -11 1/2 PTF,10/1/2021,10/31/2023,nan,,10/10/2010,TRUE,SUP. PLASTICOS,ACTIVO,EXTERNO
06HI-1071,06HI-1071,ALMACEN CABLES,BASCULA DIG,TORREY,FALSE,QC-20140,A15-003046,0 20 KG,1/7/2023,7/31/2023,nan,,12/1/2016,TRUE,SUP. ALMACEN,ACTIVO,EXT-PLANTA
06HI-1072,06HI-1072,ALMACEN CENTRAL,BASCULA DIG.,TORREY,FALSE,QC-20140,A14-2524,0 20 KG,,,nan,,12/22/2016,TRUE,SUP. ALMACEN,INACTIVO,EXTERNO
01HE-0016,01HE-0016,SENSORES,HORNO DE TEMP,EUROTERM,FALSE,818P4,nan,nan,11/1/2019,11/30/2020,nan,,11/1/2016,TRUE,SUP. SENSORES,INACTIVO,EXTERNO
01KE-0320,01KE-0320,SMT-LINEA 2,HORNO DE SECADO,HELLER,FALSE,1809MK-III,0214S3-B7A,nan,12/27/2022,12/31/2023,nan,,12/27/2016,TRUE,SUP. SMT,ACTIVO,EXT-PLT
01KE-0321,01KE-0321,SMT-LINEA3,HORNO DE TEMP.,HELLER,FALSE,1809MK-III,1015S3-B7A,nan,12/27/2022,12/31/2023,nan,,12/27/2016,TRUE,SUP. SMT,ACTIVO,EXT-PLT 1015S3-B7A2S-301505-05
01KE-0322,01KE-0322,SMT,HORNO DE SECADO,HELLER,FALSE,1809-XL,0508J2-A7A,nan,12/1/2021,12/31/2022,nan,,12/27/2016,TRUE,SUP. SMT,INACTIVO,EXTERNO 0508J2-A7A2S-83516-03
01KE-0309,01KE-0309,SMT,HORNO DE SECADO,HELLER,FALSE,1809MK-III,0712S3-B7A,nan,12/27/2017,12/31/2018,nan,,12/27/2016,FALSE,SUP. SMT,INACTIVO,0712S3-B7A2S-30374-05
05NE-5395,05NE-5395,SMART CHILLER,DATA ADQUISITION,AGILENT,FALSE,34970A,MY44086859,nan,12/27/2022,12/31/2023,nan,,12/27/2016,TRUE,SUP.CONTROLADOR,ACTIVO,EXT-PLNATA T
05NE-5411,05NE-5411,SMATR,DATA ADQUISITION,AGILENT,FALSE,34970A,MY44080942,nan,12/27/2022,12/31/2023,nan,,12/27/2016,TRUE,SUP.CONTROLADOR,ACTIVO,EXT-PLANTA T
