Modelo,Descripcion,Fabricante,CalibracionInterna
FM 042-15,FLOWMETER,AALBORG INSTR.,True
FM8203-S,FLOWMETER,AALBORG,True
FM082-03,FLOWMETER,AALBORG,True
FM04215-G,FLOWMETER,AALBORG,True
FM-4215G,FLOWMETER,AALBORG,True
FM-08203S,FLOWMETER,AALBORG,True
FMA042-15G,TUBO DE FLUJO,ALLBORG INST.,True
698A01TRA,TRANSDUCTOR DE PRESION IN HG,MKS,False
AD06A01TRA,TRANSDUCTOR DE PRESION,MKS,False
821-1,MASSFLOWMETER,SIERRA INSTRUME,True
830,MASSFLOWMETER,SIERRA INSTRUME,True
901M,MASSFLOWMETER,SIERRA INSTRUME,True
831-09-1,MASSFLOWMETER,SIERRA INSTRUME,True
831-09,MASSFLOWMETER,SIERRA INSTRUME,True
FMA-865-V,MASSFLOW METER,OMEGA ENGR.,True
730-N1-1,MASSFLOW METER,SIERRA INSTR.,True
GFM 171,MAS FLOW METER,AALBORG,True
GFM571S,MASS FLOW METER,AALBORG,True
FMA-A2310,MASS FLOW  METER,OMEGA ENG.,True
FMA-A2300,MASFLOWMETER,OMEGA,True
GFM17,Mass flow mwter,Aalborg,True
407119,THERMO ANEMOMETER,EXTECH,False
407113,THERMO ANEMOMETRO,EXTECH,False
922,Thermo Anenometro,FLUKE,False
20BA10WM,FLOWMETER,MERIAN INSTR.,True
1403,PRESSURE GAGE,US GAGE,True
1404,PRESSURE GAGE,Valley Inst.,False
8804,PRESSURE GAGE,US GAG CO,True
200C,PRESSURE GAGE,MARCH INS,True
CM-110486,PRESSURE GAGE,US. GAGE CO,True
5801,PRESSURE GAGE,USG CO.,True
3304,PRESSURE GAGE,DWYER SYSTEM,True
2330,PRESSURE GAGE,DWYER INSTR.,True
CM-21374,PRESSURE GAGE,HEISE,True
CM-1498,PRESSURE GAGE,HEISE,True
62A-2A-020,PRESSURE GAGE,WALLACE TERNAN,True
2001C,PRESSURE GAGE,DWAYER INST.INC,True
1404-,PRESSURE GAGE,US GAGE,True
2320,PRESSURE GAGE,DWYER INSTRUM,True
2010,PRESSURE GAGE,MAGNEHELIC,True
310,PRESSURE GAGE,DWAYER INSTRUME,True
GR2-15A-35,ANALOG PRESSURE GAGE,WEKSLER INSTR.,True
DPE5000-L,MANOMETRO DIGITAL,OMEGA,True
85-1082PS,MANOMETRO,ASHCROFT,True
2101,Dig Pressure Gage,Mensor,False
CPS2000,PRESSURE GAGE,MENSOR,False
CPC2000,Pressure Gage-mesor,MENSOR,False
CPC-2000,Pressure Meter,MENSOR,False
CPC 2000,PRESSURE GAGE DIG,MENSOR,False
11900401,DIG. PRESSURE GAGE,MENSOR,True
11900-401,DIGITAL PRESSURE GAGE,WALLACE & TI,True
360,PANEL METER,SETRA INSTRUMEN,True
2204,PRESSURE GAGE DIG.,SETRA SYSTEM,True
1900-401,PRESSURE GAGE DIGITAL,MENSOR,True
66B-4A-003,DIGITAL PRESS. GAUGE,PENWALT,True
262,COMPARADOR DE RESISTENCIA,ELECTRO SCIENTI,False
RS-201,Decada de Resistencias,IET Labs Inc,False
RS201,DECADA DE RESISTENCIA,IET LAB,False
RS-200,Decada de Resistencias,IET Labs Inc,False
OS-260,DECADA DE RESIST.,IET LAB,False
RCS-502,Decadas de Resistencias y capacitores,IET Labs Inc,True
OS260,DECADA DE RESISTENCIA,IET LAB,False
